date,index_all_shortage,energy_shortage,food_shortage,industry_shortage,labor_shortage,index_can,index_deu,index_fra,index_gbr,index_jpn,index_usa
2020m1,63.009815,6.0586362,18.781771,13.934862,24.234545,141.70255,60.436695,73.224815,50.386936,128.92189,72.069046
2020m2,92.922066,4.9891043,25.569159,28.687349,33.676453,97.239815,149.30339,123.33769,113.16033,275.61624,110.82815
2020m3,228.69069,10.781943,27.806065,108.38691,81.715782,221.20503,152.83861,205.75392,167.32408,167.19543,252.11632
2020m4,296.97678,10.158159,60.948956,126.08069,99.788979,232.92581,208.62193,269.17868,194.2607,136.93124,327.1337
2020m5,189.01581,13.670954,51.711868,70.137939,53.495041,194.62642,201.59314,235.10628,157.28577,116.75102,218.92729
2020m6,100.83101,9.3941927,23.798622,30.061419,37.576771,68.356178,43.73127,82.573402,66.289795,61.507481,120.27319
2020m7,121.15066,7.8747926,23.018625,38.162457,52.09478,75.560928,72.510826,86.522659,105.33532,59.491581,137.16669
2020m8,95.152031,9.3977318,18.208105,30.542627,37.003567,36.633175,76.167946,141.9765,57.729366,76.913315,117.00749
2020m9,91.348045,7.4065986,21.602579,22.837011,39.501858,48.119274,61.569183,74.596924,60.664032,101.02899,114.9944
2020m10,73.504387,6.9452968,17.363241,13.890594,35.305256,45.122284,51.961048,76.310013,39.382423,37.894661,87.095284
2020m11,86.715988,6.1939988,9.9103985,27.872995,42.73859,77.263191,61.786987,74.860825,74.927544,50.693192,100.31026
2020m12,109.37588,6.9545355,20.231377,27.818142,54.371826,118.2955,88.293625,215.34157,148.17931,51.743279,125.94649
2021m1,116.59194,5.4369297,20.539513,33.225681,57.389812,122.45206,60.261105,92.924446,173.55823,98.882561,138.52464
2021m2,155.49852,26.139837,34.182865,58.311951,36.863876,135.86049,66.85965,162.01367,101.34881,186.50723,176.74695
2021m3,124.43465,9.7595806,18.299213,59.167458,37.208401,123.642,206.87877,194.35687,152.18628,269.57736,152.98366
2021m4,152.37718,8.8152094,23.297338,81.225853,39.038784,107.99628,100.49638,145.28293,90.450005,309.19632,189.50458
2021m5,268.96979,40.90324,30.367558,106.59632,91.102669,193.26595,160.73595,251.9453,192.10915,192.74179,308.20456
2021m6,286.40005,32.54546,48.167282,93.730927,111.95639,243.58087,103.88821,221.70364,167.32072,266.35992,326.50079
2021m7,337.07776,35.95496,62.921181,135.47316,102.72846,260.28891,166.52138,253.95924,155.33566,346.81128,385.54993
2021m8,288.21661,18.134979,60.234035,90.027214,119.8204,121.18581,122.75479,213.48679,195.87067,201.42857,345.30093
2021m9,342.29248,48.063839,50.661884,105.22083,138.3459,212.67554,213.80927,314.00037,274.99521,308.31396,398.4064
2021m10,511.34442,83.796867,56.884007,181.66183,189.00171,257.50314,390.49283,604.84003,485.56451,500.59409,541.74078
2021m11,528.92163,56.097752,52.758598,210.36656,209.69873,541.47827,379.72296,506.29773,408.97952,612.1568,557.03815
2021m12,464.80219,28.349638,50.765629,133.17737,252.50955,349.51797,368.29254,434.63132,463.56689,377.70746,533.85504
2022m1,554.02063,24.058798,38.093094,177.76778,314.10095,312.61096,339.991,638.82422,540.63678,568.83099,642.67255
2022m2,327.34918,25.285845,28.702848,120.27861,153.08186,415.57736,252.23381,277.823,206.67413,380.33224,372.18179
2022m3,352.15045,57.760128,65.213051,110.55164,118.62564,464.83405,557.5882,518.6203,399.13013,335.48074,397.87671
2022m4,360.73703,53.880577,75.564224,115.64612,115.64612,327.85355,373.6105,360.97665,233.48912,268.88516,398.34058
2022m5,359.4679,54.389057,103.77682,94.399391,106.90262,302.17981,392.87885,384.65466,311.95114,409.31787,416.62085
2022m6,360.46561,62.036652,102.52374,90.769417,105.1358,346.19052,534.15149,495.06766,355.47382,331.35605,411.78757
2022m7,477.7583,94.494377,101.10239,134.80318,147.35837,432.74374,751.45099,573.57178,539.56543,356.93765,535.07446
2022m8,355.44965,55.601067,94.65419,97.301865,107.89254,309.62543,482.0061,370.90674,350.30978,357.54132,402.22168
2022m9,337.06348,72.088715,84.42823,63.645897,116.90063,405.05673,421.09833,449.54755,378.08151,265.76196,389.99063
2022m10,328.19,81.573242,60.073315,75.882088,110.66137,187.33682,447.85989,479.39978,363.34735,217.36307,379.72382
2022m11,271.18182,48.195824,61.690655,52.694103,108.60126,250.49535,288.46057,402.45166,335.23367,262.9642,320.49643
2022m12,267.87549,45.998821,42.616554,62.910152,116.34996,168.7599,404.86932,349.32233,250.60184,210.37778,325.7413
2023m1,239.84366,25.500618,48.93362,53.068855,112.34057,193.4341,158.12578,234.74776,187.58664,203.06262,297.31122
2023m2,268.83951,39.556767,50.544754,65.92794,112.81004,354.07901,189.98801,193.16524,215.99416,299.76123,335.94855
2023m3,200.08293,26.766947,49.518856,40.150425,83.646706,135.64186,146.85455,227.92465,197.31215,164.3004,246.47212
2023m4,170.18327,10.725837,42.188293,36.467846,80.801308,167.24098,114.1263,164.98709,156.77916,128.74817,215.20631
2023m5,184.14536,12.18082,29.377274,37.258984,105.32827,100.5499,92.917343,157.45206,135.43098,129.01161,220.7811
2023m6,168.88054,13.450663,40.351986,32.879398,82.198494,209.72739,141.62848,106.7346,90.394402,110.08347,203.47945
2023m7,193.70653,17.268412,34.536823,44.29723,97.604073,234.13486,172.25754,173.23459,164.61635,196.63145,234.57236
2023m8,163.82782,16.018721,34.949936,29.853071,83.006096,136.2379,188.8445,208.00281,159.64435,119.18282,205.57352
2023m9,168.77193,14.002911,47.904694,30.953804,75.910522,114.91488,95.572716,153.85411,44.576412,84.444481,202.79712
2023m10,214.72443,50.102367,59.407089,36.503155,68.711815,234.36404,192.77458,298.8371,205.63365,117.15711,250.29134
2023m11,203.91524,48.11483,46.587376,43.532467,65.680565,166.71626,114.27613,184.60857,167.45065,112.50955,228.76022
